session_uid,session_type,car_idx,driver_column,driver_raw,lap,tyre,lap_time_ms,wear_avg,wear_rl,wear_rr,wear_fl,wear_fr,sess_time_sec,sc_status,tyre_age,s1_ms,s2_ms,s3_ms,fuel_mix
4863820750245793050,OSQ,8,VERSTAPPEN [8],VERSTAPPEN,1,Inter,74493,1,1,1,1,1,78.73257446289062,,0,17866,33719,22908,1
4863820750245793050,OSQ,2,BOTTAS [2],BOTTAS,1,Inter,74615,1,1,1,1,1,78.86486053466797,,0,17795,33820,23000,1
4863820750245793050,OSQ,9,HAMILTON [9],HAMILTON,1,Inter,74839,1,1,1,1,1,79.08270263671875,,0,17846,33947,23046,1
4863820750245793050,OSQ,11,STROLL [11],STROLL,1,Inter,75254,1,1,1,1,1,79.48528289794922,,0,17948,34047,23259,1
4863820750245793050,OSQ,6,RICCIARDO [6],RICCIARDO,1,Inter,75345,1,1,1,1,1,79.57215118408203,,0,17966,34036,23343,1
4863820750245793050,OSQ,14,LECLERC [14],LECLERC,1,Inter,75399,1,1,1,1,1,79.64474487304688,,0,18079,34081,23239,1
4863820750245793050,OSQ,19,ALBON [19],ALBON,1,Inter,75482,1,1,1,1,1,79.73302459716797,,0,18264,34171,23047,1
14608621467962233914,Race,8,VERSTAPPEN [8],VERSTAPPEN,1,Soft,68627,2,2,2,2,2,74.63057708740234,,0,19282,29373,19972,2
14608621467962233914,Race,9,HAMILTON [9],HAMILTON,1,Soft,69256,2,2,2,2,2,75.25411224365234,,0,19577,29650,20029,2
14608621467962233914,Race,2,BOTTAS [2],BOTTAS,1,Soft,69931,1.5,2,2,1,1,75.94009399414062,,0,19775,30017,20139,2
14608621467962233914,Race,6,RICCIARDO [6],RICCIARDO,1,Soft,70983,1.8,2,2,2,1,76.98592376708984,,0,20052,30655,20276,2
14608621467962233914,Race,11,STROLL [11],STROLL,1,Soft,71454,1.5,2,2,1,1,77.45883178710938,,0,20188,30917,20349,2
14608621467962233914,Race,19,ALBON [19],ALBON,1,Soft,72231,1.5,2,1,2,1,78.23567962646484,,0,20508,31149,20574,2
